食物名称(100g),热量(kcal),硫胺素(mg),钙(mg),蛋白质(g),核黄素(mg),镁(mg),脂肪(g),烟酸(mg),铁(mg),碳水化合物(g),维生素C(mg),锰(mg),膳食纤维(g),维生素E(mg),锌(mg),维生素A(ug),胆固醇(mg),铜(mg),胡萝卜素(ug),钾(mg),磷(mg),视黄醇当量(ug),钠(mg),硒(mg),label
小泥肠,295,0,20,11,0,5,26,13,1,3,0,0,0,0,1,0,59,0,3,132,170,56,648,7,27
午餐肠,261,0,2,3,1,26,17,0,5,25,0,0,0,0,2,65,47,0,3,102,51,52,553,6,0
午餐肚,181,0,36,9,0,23,0,0,5,35,0,0,0,0,2,4,0,0,5,57,19,50,294,3,1
方腿,117,0,1,16,0,2,5,17,3,2,0,0,0,0,3,0,45,0,3,222,202,74,424,7,27
火腿,330,0,3,16,0,20,27,9,2,5,0,0,0,1,2,46,120,0,4,220,90,48,1087,3,27
金华火腿,318,1,9,16,0,23,28,5,2,0,0,0,0,0,2,20,98,0,7,389,125,49,233,13,25
圆腿,139,1,3,18,0,2,6,20,1,2,0,0,0,0,2,1,54,0,3,247,199,71,373,8,25
牛肉(肥瘦)(均值),125,0,23,20,0,20,4,6,3,2,0,0,0,1,5,7,84,0,1,216,168,73,84,6,8
牛肉(腑肋),123,0,19,19,0,14,5,3,3,0,0,0,0,0,4,7,71,0,1,217,120,75,67,2,8
牛肉(后腿),106,0,5,21,0,21,2,6,3,1,0,0,0,1,4,3,74,0,1,197,210,75,45,5,8
牛肉(后腱),98,0,5,20,0,20,1,5,4,2,0,0,0,1,4,3,54,0,1,182,195,76,85,4,8
牛肉(里脊),107,0,3,22,0,29,1,7,4,2,0,0,0,1,7,4,63,0,1,140,241,73,75,3,8
牛肉(前腿),105,0,5,19,0,20,2,5,3,3,0,0,0,1,4,3,71,0,1,176,181,75,70,4,8
牛肉(前腱),113,0,5,20,0,22,1,5,3,5,0,0,0,0,8,2,80,0,1,182,181,72,83,5,8
牛肉(瘦),106,0,9,20,0,21,2,6,3,1,0,0,0,0,4,6,58,0,1,284,172,75,54,11,8
牛蹄筋,151,0,5,34,0,10,0,1,3,3,0,0,0,0,1,0,0,0,1,23,150,62,154,2,8
牛蹄筋(泡发),25,0,6,6,0,3,0,0,2,0,0,0,0,0,1,5,10,0,0,1,5,94,81,5,1
牛鞭(泡发),117,0,10,27,0,9,1,0,3,0,0,0,0,0,1,0,0,0,0,4,18,72,32,2,8
牛大肠,66,0,12,11,0,0,2,1,2,0,0,0,0,0,1,0,124,0,0,55,102,86,28,11,8
牛肚,72,0,40,14,0,17,2,2,2,0,0,0,0,1,2,2,104,0,1,162,104,83,61,9,8
牛肺,95,0,8,16,0,14,2,3,12,2,13,0,0,0,3,12,306,0,1,197,269,79,155,14,8
牛肝,139,0,4,20,1,22,4,12,7,6,9,0,0,0,5,20220,297,1,1,185,252,69,45,12,9
牛脑,149,0,6,12,0,20,11,4,5,0,0,0,0,0,5,0,2447,0,1,300,435,75,186,20,11
牛舌,196,0,6,17,0,18,13,4,3,2,0,0,0,1,3,8,92,0,1,236,151,67,58,14,8
牛肾,94,0,8,16,1,13,2,8,9,3,0,0,0,0,2,88,295,0,1,190,214,78,181,70,23
牛心,106,0,4,15,0,25,4,7,6,3,5,0,0,0,2,17,115,0,1,282,178,77,48,15,8
酱牛肉,246,0,20,31,0,27,12,4,4,3,0,0,0,1,7,11,76,0,3,148,178,51,869,4,27
煨牛肉(罐头),166,0,66,17,0,17,11,6,3,0,0,0,0,1,4,0,84,0,2,95,82,70,609,5,8
牛肉干,550,0,43,46,0,107,40,15,16,2,0,0,0,0,7,0,120,0,3,510,464,9,412,10,27
咖哩牛肉干,326,0,65,46,0,26,3,6,18,30,0,1,0,15,8,86,116,0,9,576,289,13,2075,5,27
牛肉松,445,0,76,8,0,52,16,1,5,68,0,1,0,18,1,90,169,0,6,128,74,3,1946,3,3
牛蹄筋(熟),147,0,13,35,0,8,1,0,2,0,0,0,0,0,1,0,51,0,0,48,22,64,99,4,8
羊肉(肥瘦)(均值),203,0,6,19,0,20,14,4,2,0,0,0,0,0,3,22,92,1,1,232,146,66,81,32,8
羊肉(冻),285,0,17,13,0,37,24,4,5,4,0,0,0,0,8,0,77,0,1,587,143,58,122,3,27
羊肉(后腿),110,0,6,20,0,20,3,6,3,0,0,0,0,0,2,8,83,0,1,143,182,76,60,4,8
羊肉(颈),135,0,8,21,0,18,5,4,3,2,0,0,0,0,3,6,85,0,1,208,157,71,75,5,8
羊肉(里脊),103,0,8,20,0,22,2,6,3,2,0,0,0,1,2,5,107,0,1,161,184,75,74,6,8
羊肉(前腿),110,0,7,19,0,18,3,5,2,2,0,0,0,0,2,10,86,0,1,108,181,76,74,5,8
羊肉(青羊),99,0,9,21,0,9,1,6,4,1,0,0,0,0,1,0,53,0,1,151,101,75,42,4,8
羊肉(瘦),118,0,9,20,0,22,4,5,4,0,0,0,0,0,6,11,60,0,1,403,196,74,69,7,8
羊肉(胸脯),133,0,7,19,0,17,6,4,3,0,0,0,0,0,2,11,89,0,1,170,150,74,87,7,8
山羊肉(冻),293,0,135,9,0,50,24,5,14,9,0,0,0,0,10,8,81,0,1,744,151,56,161,8,27
羊蹄筋(生),159,0,16,34,0,5,2,1,3,0,0,0,0,0,2,0,58,0,0,74,39,63,150,4,8
羊蹄筋(泡发),41,0,14,8,0,6,0,0,2,2,0,0,0,0,1,4,28,0,0,1,5,90,49,1,1
羊大肠,75,0,25,13,0,17,2,2,2,0,0,0,0,0,2,0,150,1,1,117,34,83,79,14,8
羊肚,87,0,38,12,0,16,3,2,1,2,0,1,0,0,3,23,124,0,1,101,133,82,66,10,8
